ts_code,open,high,low,close,pct_chg,vol,amount,volume_obv,volume_cmf,volume_vpt,volume_vwap,volume_mfi,volatility_bbw,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_adx,trend_adx_pos,trend_adx_neg,momentum_rsi,momentum_wr,momentum_roc,momentum_ao,momentum_ppo_hist,trend_cci,trend_aroon_up,trend_aroon_down,trend_aroon_ind
603881.SH,26.78,26.8,26.31,26.42,-1.7479,274104.38,725328.815,274104.38,-0.551020408,0,26.51,50,0,0,0,0,0,0,0,0,0,100,-77.55102041,0,0,0,0,0,0,0
603881.SH,26.81,26.95,26.5,26.89,-0.5547,328799.42,879021.084,602903.8,0.14941433,5849.19483,26.65724711,100,3.526542863,0,0,0.037492877,0.007498575,0.029994302,0,0,0,100,-9.375,0,0,0.113379369,66.66666667,4,0,4
603881.SH,27.77,27.99,27.02,27.04,-2.8387,453556.9,1240793.683,1056460.7,-0.326345367,8379.263071,26.95465794,100,3.944434656,0,0,0.078406182,0.021680097,0.056726085,0,0,0,100,-56.54761905,0,0,0.214038453,100,8,0,8
603881.SH,27.81,27.98,27.38,27.83,-0.855,438206.8,1214125.954,1494667.5,-0.084077332,21181.90257,27.18197282,100,7.508467058,0,0,0.17258719,0.051861515,0.120725675,0,0,0,100,-9.523809524,0,0,0.453637782,94.97206704,8,0,8
603881.SH,28.3,28.86,27.56,28.07,0.2858,694568.92,1954292.549,2189236.42,-0.125736587,27171.71719,27.49332453,100,8.980319643,0,0,0.263554223,0.094200057,0.169354166,0,0,0,100,-30.98039216,0,0,0.633288776,107.8925273,16,0,16
603881.SH,26.65,28,26.57,27.99,4.5183,770874.78,2121443.314,1418361.64,0.163786482,24974.71033,27.50027138,71.38490553,9.101716271,0,0,0.325439457,0.140447937,0.18499152,0,0,0,94.49626423,-34.11764706,0,0.154333333,0.688553888,25.49800797,16,0,16
603881.SH,27.4,27.58,26.57,26.78,-0.8515,499884.67,1343296.43,918476.97,0.055726761,3364.833564,27.42462332,60.39868089,8.983913845,0,0,0.273692111,0.167096772,0.106595339,0,0,0,49.82734802,-81.56862745,0,0.260285714,0.396427059,-45.5994456,16,0,16
603881.SH,25.9,27.32,25.61,27.01,3.4074,671649.13,1788546.108,1590126.1,0.150289191,9133.291365,27.29815701,50.15446094,8.522370296,0,0,0.248377899,0.183352997,0.065024901,0,0,0,54.25395977,-56.92307692,0,0.1555,0.241144272,-77.97979798,16,28,-12
603881.SH,26.38,26.53,25.81,26.12,-0.9105,473690.54,1238797.971,1116435.56,0.12054523,-6475.171449,27.180404,44.88475139,9.631360003,0,0,0.154717158,0.177625829,-0.022908672,0,0,0,39.66906761,-84.30769231,0,-0.033444444,-0.085623555,-117.6334107,16,28,-12
603881.SH,25.97,26.8,25.65,26.36,1.5408,621298.67,1622352.565,1737734.23,0.134124817,-766.4547263,27.07218276,51.58642133,9.775561952,1.134,0,0.098718376,0.161844339,-0.063125963,0,0,0,44.03795897,-76.92307692,0,-0.3455,-0.235556731,-90.5752754,16,28,-12
603881.SH,24.75,26.15,24.61,25.96,4.7619,605891.77,1538385.211,1131842.46,0.198440156,-9960.563528,26.91647998,46.24785376,10.44902942,1.1956,0,0.021810859,0.133837643,-0.112026784,0,0,0,38.97245763,-68.23529412,0,-0.580181818,-0.418449144,-143.2499396,16,40,-24
